Duration|Net Sales|Commision (in value)|Age|Agency|Agency Type|Distribution Channel|Product Name|Claim|Destination
5|26.0|9.1|29|9|0|1|8|0|23
79|23.0|0.0|39|7|1|1|1|0|53
370|204.6|132.99|39|11|1|1|5|1|23
43|29.0|9.57|8|5|1|0|12|0|73
25|34.0|0.0|36|7|1|1|10|0|96
366|216.0|54.0|37|2|0|1|4|0|109
16|30.55|7.64|22|2|0|1|9|0|109
30|10.0|0.0|32|7|1|1|10|0|52
26|35.0|12.25|27|9|0|1|8|0|23
6|49.5|29.7|35|6|1|1|16|0|3
83|80.0|0.0|61|7|1|1|10|0|20
9|18.0|6.3|49|9|0|1|8|0|53
14|0.0|17.82|31|6|1|1|16|0|3
55|98.0|0.0|36|7|1|1|1|0|63
18|10.0|0.0|36|7|1|1|10|0|134
100|0.0|0.0|37|7|1|1|10|0|129
8|10.0|0.0|31|7|1|1|10|0|109
20|49.5|29.7|56|6|1|1|16|0|90
26|36.0|0.0|36|7|1|1|1|0|23
29|20.0|0.0|36|7|1|1|1|0|109
18|77.0|0.0|36|7|1|1|1|0|95
55|20.0|0.0|36|7|1|1|1|0|49
1|20.0|0.0|36|7|1|1|0|0|109
18|29.7|17.82|43|6|1|1|16|0|43
35|10.0|0.0|29|7|1|1|10|0|129
36|47.0|0.0|36|7|1|1|10|0|116
75|78.0|0.0|36|7|1|1|1|0|128
23|0.0|5.63|25|2|0|1|17|0|109
8|69.3|41.58|50|6|1|1|16|0|128
42|69.3|41.58|34|6|1|1|16|0|3
73|0.0|0.0|36|7|1|1|10|0|9
9|69.3|41.58|28|6|1|1|16|0|119
32|20.0|0.0|29|7|1|1|1|0|53
232|80.0|0.0|36|7|1|1|10|0|123
42|35.0|12.25|43|9|0|1|8|0|63
37|33.0|0.0|29|7|1|1|10|0|63
10|21.0|5.25|22|2|0|1|9|0|109
35|10.0|0.0|36|7|1|1|10|0|52
7|64.0|0.0|35|7|1|1|10|0|109
4736|0.32|0.09|48|13|0|1|22|0|109
15|20.0|0.0|36|7|1|1|0|0|109
3|15.0|6.0|38|12|0|1|25|0|16
17|26.0|0.0|36|7|1|1|1|0|23
99|227.7|136.62|50|6|1|1|16|0|29
6|10.0|0.0|35|7|1|1|10|0|109
26|48.5|31.53|23|11|1|1|18|0|128
173|33.0|11.55|44|9|0|1|8|0|53
74|40.0|0.0|36|7|1|1|10|0|109
23|22.0|7.7|57|9|0|1|8|0|134
2|24.0|0.0|35|7|1|1|0|0|53
7|29.0|10.15|118|1|0|1|25|0|73
82|161.0|40.25|50|2|0|1|9|0|109
66|99.0|59.4|57|6|1|0|16|0|115
156|26.0|0.0|36|7|1|1|1|1|59
16|59.4|35.64|29|6|1|1|16|0|3
10|45.0|15.75|45|9|0|1|25|0|23
16|37.0|12.95|118|9|0|0|8|0|53
32|44.0|0.0|36|7|1|1|1|0|109
73|33.0|0.0|53|7|1|1|10|0|119
3|30.0|0.0|36|7|1|1|0|0|23
8|19.0|0.0|36|7|1|1|10|0|23
39|20.0|0.0|20|7|1|1|0|0|95
95|75.0|28.5|48|10|1|1|25|0|9
98|21.0|0.0|36|7|1|1|10|0|116
9|39.0|9.75|31|2|0|1|17|0|109
111|22.0|0.0|36|7|1|1|10|0|53
8|17.55|4.39|30|2|0|1|9|0|109
31|51.0|0.0|36|7|1|1|10|0|59
13|0.0|0.0|35|7|1|1|10|0|23
13|10.0|0.0|47|7|1|1|10|0|73
53|29.7|17.82|54|6|1|1|16|0|53
40|80.25|20.06|29|2|0|1|9|0|109
18|63.0|0.0|36|7|1|1|10|0|119
20|33.0|0.0|36|7|1|1|1|0|134
95|0.0|5.94|31|6|1|1|16|0|85
37|12.0|0.0|35|7|1|1|10|0|95
87|64.0|0.0|20|7|1|1|10|0|129
9|112.0|0.0|36|7|1|1|1|0|23
70|10.0|0.0|20|7|1|1|10|0|49
25|30.0|0.0|36|7|1|1|1|0|52
151|112.0|0.0|69|7|1|1|1|0|129
19|72.0|18.0|34|2|0|1|17|0|109
45|53.0|0.0|36|7|1|1|10|0|59
20|38.0|0.0|35|7|1|1|10|0|59
3|15.0|0.0|36|7|1|1|10|0|109
11|17.0|4.25|52|2|0|1|9|1|109
37|24.0|0.0|36|7|1|1|0|0|109
23|59.4|35.64|53|6|1|1|16|0|73
54|54.0|0.0|36|7|1|1|1|0|52
23|37.0|0.0|36|7|1|1|10|0|109
10|36.0|0.0|36|7|1|1|10|0|116
14|19.8|11.88|25|6|1|1|16|1|73
31|33.0|0.0|36|7|1|1|0|0|119
38|69.0|0.0|36|7|1|1|10|0|53
4|15.0|6.0|28|12|0|1|25|0|16
38|30.0|10.5|46|9|0|1|8|0|119
114|115.0|0.0|36|7|1|1|10|0|114
13|76.3|19.07|35|2|0|1|17|1|109
118|20.0|0.0|30|7|1|1|1|0|82
62|26.0|0.0|36|7|1|1|0|0|62
3|19.5|4.88|27|2|0|1|17|0|109
2|19.0|0.0|36|7|1|1|10|0|23
11|29.5|7.38|27|2|0|1|9|0|109
58|62.0|15.5|23|2|0|1|9|1|109
19|26.0|9.1|40|9|0|1|8|0|23
2|15.0|6.0|58|12|0|1|25|0|73
28|30.0|10.5|33|9|0|1|8|0|73
14|11.0|0.0|36|7|1|1|10|0|82
36|3.73|1.05|48|13|0|1|22|0|109
42|26.0|0.0|36|7|1|1|1|0|23
11|21.0|0.0|36|7|1|1|1|0|53
12|80.0|0.0|36|7|1|1|10|0|109
3|19.8|11.88|45|6|1|1|16|0|73
20|11.0|0.0|36|7|1|1|10|0|134
112|79.0|0.0|36|7|1|1|1|0|109
326|19.0|0.0|36|7|1|1|10|0|95
74|138.6|83.16|50|6|1|1|16|0|3
22|10.0|0.0|36|7|1|1|10|0|109
24|49.5|29.7|35|6|1|1|16|0|115
59|18.0|0.0|30|7|1|1|10|0|52
3|20.0|0.0|36|7|1|1|0|0|73
4|10.0|0.0|36|7|1|1|10|0|73
19|22.5|5.63|22|2|0|1|17|1|109
43|42.0|14.7|43|9|0|1|8|0|95
44|39.0|9.75|50|2|0|1|17|0|109
29|59.0|0.0|36|7|1|1|10|0|28
11|59.4|35.64|42|6|1|1|16|0|129
18|29.7|17.82|41|6|1|1|16|0|73
27|22.0|7.7|39|9|0|1|8|0|119
19|44.0|15.4|41|9|0|1|8|0|59
6|16.0|4.0|27|2|0|1|9|0|109
16|10.0|0.0|70|7|1|1|10|0|109
21|26.0|0.0|36|7|1|1|10|0|52
23|29.7|17.82|25|6|1|1|16|0|63
7|18.0|6.3|53|9|0|1|8|0|73
97|5.59|1.57|48|13|0|1|22|0|109
16|33.5|8.38|20|2|0|1|9|0|109
17|29.7|17.82|51|6|1|1|16|0|38
63|30.0|10.5|76|14|1|0|23|0|73
6|53.25|13.31|33|2|0|1|9|0|109
4|16.0|4.0|65|2|0|1|9|0|109
21|62.25|15.56|34|2|0|1|17|0|109
35|23.0|0.0|36|7|1|1|1|0|134
74|75.0|28.5|48|10|1|1|25|0|41
16|25.0|0.0|36|7|1|1|1|0|103
21|93.0|0.0|36|7|1|1|1|0|103
60|30.0|0.0|36|7|1|1|10|0|59
11|10.0|0.0|36|7|1|1|10|0|73
45|1.03|0.29|48|13|0|1|22|0|109
5|0.0|23.76|41|6|1|1|16|0|73
43|27.0|0.0|36|7|1|1|1|0|23
24|32.0|8.0|74|2|0|1|9|0|109
17|56.5|36.73|35|11|1|1|20|0|129
14|39.0|13.65|39|9|0|1|25|0|119
18|58.0|20.3|48|9|0|1|25|0|3
9|20.0|5.0|41|2|0|1|9|0|109
38|32.0|0.0|36|7|1|1|10|0|91
7|39.6|23.76|57|6|1|1|16|0|73
20|72.0|0.0|36|7|1|1|1|0|59
39|22.0|7.7|29|9|0|1|8|0|113
17|34.0|0.0|36|7|1|1|1|0|49
5|16.0|4.0|29|2|0|1|9|0|109
10|22.0|7.7|66|9|0|1|8|0|23
51|22.0|7.7|36|9|0|1|8|0|119
38|20.0|0.0|36|7|1|1|0|0|109
7|37.0|0.0|36|7|1|1|10|0|23
180|10.0|0.0|28|7|1|1|10|0|53
23|20.0|0.0|31|7|1|0|1|0|53
4|20.0|0.0|36|7|1|1|1|0|119
39|59.0|0.0|36|7|1|1|10|0|128
7|28.0|0.0|36|7|1|1|10|0|95
2|22.0|0.0|36|7|1|1|10|0|52
160|41.0|0.0|36|7|1|1|10|0|1
25|32.0|0.0|36|7|1|1|10|0|52
368|97.0|0.0|37|15|1|0|14|0|109
73|128.0|0.0|36|7|1|1|10|0|96
39|19.0|0.0|36|7|1|1|10|0|49
9|45.0|15.75|45|9|0|1|25|1|3
6|22.5|5.63|43|2|0|1|17|0|109
26|24.0|0.0|36|7|1|1|0|0|53
25|29.0|0.0|35|7|1|1|1|0|49
65|9.9|5.94|31|6|1|1|16|0|3
11|80.0|0.0|36|7|1|1|10|0|109
14|26.0|9.1|45|9|0|1|8|0|23
5|43.0|0.0|28|7|1|1|1|0|129
93|20.0|0.0|45|7|1|1|1|0|53
71|58.0|20.3|28|9|0|1|25|0|3
13|19.8|11.88|47|6|1|1|16|0|73
25|20.0|0.0|35|7|1|1|0|0|109
0|22.0|7.7|34|9|0|1|8|0|23
2|16.0|0.0|35|7|1|1|10|0|52
34|21.0|0.0|32|7|1|1|10|0|129
5|10.0|0.0|36|7|1|1|10|0|109
8|30.0|0.0|36|7|1|1|1|0|23
9|26.0|9.1|63|9|0|1|8|0|113
8|15.0|0.0|36|7|1|1|10|0|73
40|30.0|0.0|29|7|1|1|1|0|109
28|20.0|0.0|41|7|1|1|0|0|53
76|45.0|0.0|36|7|1|1|1|0|59
69|138.6|83.16|48|6|1|1|16|0|128
19|26.0|0.0|36|7|1|1|1|0|23
10|40.0|10.0|55|2|0|1|9|0|109
17|10.0|0.0|39|7|1|1|10|0|109
15|66.0|0.0|36|7|1|1|10|0|128
110|80.0|0.0|36|7|1|1|10|0|1
5|10.0|0.0|22|7|1|1|10|0|59
11|26.5|6.63|41|2|0|1|9|0|109
13|49.5|29.7|31|6|1|1|16|0|119
2|20.0|0.0|21|7|1|1|0|0|73
146|0.19|0.05|48|13|0|1|22|0|109
6|29.7|17.82|60|6|1|1|16|0|3
6|25.0|0.0|34|7|1|1|1|0|119
16|49.5|29.7|48|6|1|1|16|0|3
116|18.0|6.3|39|9|0|1|8|0|119
2|22.0|7.7|36|9|0|1|8|0|23
129|10.0|0.0|41|7|1|1|10|0|73
62|50.0|0.0|36|7|1|1|10|0|52
6|23.0|0.0|49|7|1|1|0|0|129
11|39.6|23.76|47|6|1|1|16|0|3
84|69.0|24.15|34|9|0|1|25|0|63
63|112.0|0.0|36|7|1|1|1|0|118
17|20.0|0.0|36|7|1|1|1|0|95
12|16.0|4.0|21|2|0|1|9|0|109
33|21.0|0.0|36|7|1|1|1|0|73
43|83.0|29.05|59|9|0|0|8|0|3
19|34.0|0.0|36|7|1|1|10|0|82
149|20.0|0.0|36|7|1|1|1|0|73
73|16.0|0.0|36|7|1|1|10|0|134
6|35.5|8.88|29|2|0|1|17|0|109
17|58.0|20.3|30|9|0|1|25|0|23
38|30.0|10.5|63|14|1|0|23|0|73
5|38.0|0.0|35|7|1|1|1|0|53
14|53.0|0.0|36|7|1|1|1|0|59
39|26.0|9.1|54|9|0|1|8|0|49
13|35.0|0.0|36|7|1|1|1|0|119
70|80.0|0.0|59|7|1|1|10|0|129
7|10.0|0.0|36|7|1|1|10|0|73
4|18.0|6.3|30|9|0|1|8|0|82
33|30.0|0.0|27|7|1|1|1|0|59
3|18.0|0.0|36|7|1|1|10|0|23
62|20.0|0.0|43|7|1|1|1|0|53
100|59.4|35.64|31|6|1|1|16|0|3
13|24.0|0.0|36|7|1|1|10|0|109
68|40.0|14.0|21|9|0|1|8|0|23
4|13.5|3.38|28|2|0|1|9|0|109
64|63.5|15.88|60|2|0|1|17|0|109
8|73.0|0.0|36|7|1|1|10|0|49
5|45.0|15.75|42|9|0|1|25|0|23
14|13.0|0.0|36|7|1|1|10|0|23
13|14.0|0.0|36|7|1|1|10|0|73
9|10.0|0.0|36|7|1|1|10|0|108
31|16.0|0.0|27|7|1|1|10|0|129
44|10.0|0.0|53|7|1|1|10|0|73
24|112.0|0.0|36|7|1|1|1|0|109
25|19.0|0.0|36|7|1|1|10|0|53
77|112.0|0.0|40|7|1|1|1|0|129
6|41.0|0.0|36|7|1|1|1|0|23
26|28.0|0.0|36|7|1|1|1|0|119
101|66.0|0.0|39|7|1|1|10|0|129
145|1.61|0.45|48|13|0|1|22|0|109
88|102.0|0.0|45|7|1|1|10|0|129
222|20.0|0.0|36|7|1|1|1|0|82
12|20.0|0.0|36|7|1|1|1|0|53
176|29.0|9.57|76|5|1|0|12|0|73
38|26.0|0.0|36|7|1|1|10|0|23
6|9.9|5.94|45|6|1|1|16|0|73
165|10.0|0.0|36|7|1|1|10|0|95
14|43.55|10.89|47|2|0|1|17|0|109
16|10.0|0.0|36|7|1|1|10|0|73
13|21.0|0.0|36|7|1|1|1|0|119
19|25.0|0.0|36|7|1|1|10|0|23
2|15.0|6.0|66|12|0|1|25|0|16
21|9.9|5.94|28|6|1|1|16|0|129
69|81.0|0.0|36|7|1|1|1|0|3
69|59.4|35.64|40|6|1|1|16|0|3
8|20.0|5.0|36|2|0|1|9|0|109
38|0.0|17.82|30|6|1|1|16|0|3
365|216.0|54.0|47|2|0|1|4|0|109
8|75.0|0.0|36|7|1|1|1|0|119
45|79.2|47.52|31|6|1|1|16|0|3
56|94.0|0.0|36|7|1|1|1|0|57
169|1.32|0.37|48|13|0|1|22|0|109
2|12.0|0.0|36|7|1|1|10|0|52
4|20.0|0.0|45|7|1|1|1|0|73
387|252.85|63.21|37|2|0|1|4|0|109
10|35.0|12.25|59|9|0|1|8|0|23
19|21.0|0.0|36|7|1|1|10|0|109
10|29.7|17.82|31|6|1|1|16|0|119
34|109.0|27.25|27|2|0|1|17|0|109
39|33.0|11.55|44|9|0|1|8|0|53
18|20.0|0.0|36|7|1|1|0|0|109
40|80.0|0.0|36|7|1|1|10|0|26
18|33.5|8.38|68|2|0|1|9|0|109
49|19.0|0.0|36|7|1|1|10|0|63
40|72.5|18.13|26|2|0|1|9|1|109
13|10.0|0.0|26|7|1|1|10|0|119
13|39.6|23.76|40|6|1|1|16|0|20
6|10.0|0.0|36|7|1|1|10|0|73
13|99.0|59.4|51|6|1|1|16|0|86
8|22.5|5.63|41|2|0|1|17|0|109
21|10.0|0.0|25|7|1|1|10|0|63
29|27.0|0.0|37|7|1|1|1|0|23
35|22.0|0.0|36|7|1|1|1|0|49
5|10.0|0.0|49|7|1|1|10|0|119
109|39.6|23.76|49|6|1|1|16|0|119
13|35.0|0.0|36|7|1|1|1|0|23
14|35.0|12.25|47|9|0|1|8|0|23
41|33.5|8.38|29|2|0|1|17|0|109
12|39.0|15.6|118|8|0|1|25|0|52
381|280.8|70.2|68|2|0|1|4|0|109
15|31.0|12.4|37|12|0|1|25|0|16
41|28.0|0.0|36|7|1|1|10|0|3
20|20.0|0.0|36|7|1|1|1|0|73
15|22.0|7.7|38|9|0|1|8|0|23
50|10.0|0.0|27|7|1|1|10|0|119
365|291.75|72.94|28|2|0|1|4|0|109
161|34.5|8.63|44|2|0|1|9|0|109
154|10.0|0.0|34|7|1|1|10|0|73
6|39.0|15.6|118|8|0|1|25|0|52
13|69.3|41.58|31|6|1|1|16|0|127
7|18.5|4.63|37|2|0|1|17|0|109
90|22.0|0.0|36|7|1|1|1|0|119
6|12.0|0.0|31|7|1|1|10|0|119
2|11.0|0.0|36|7|1|1|10|0|109
20|29.7|17.82|38|6|1|1|16|0|73
4|19.8|11.88|28|6|1|1|16|0|38
18|19.0|0.0|36|7|1|1|10|0|53
49|99.0|59.4|49|6|1|1|16|0|112
23|28.0|0.0|36|7|1|1|1|0|85
4|22.0|0.0|36|7|1|1|1|0|53
3|20.0|0.0|36|7|1|1|1|0|73
9|29.7|17.82|30|6|1|1|16|0|119
27|20.0|0.0|51|7|1|1|1|0|53
17|138.6|83.16|31|6|1|1|16|0|3
8|12.0|0.0|45|7|1|1|10|1|53
13|39.6|23.76|49|6|1|1|16|0|73
35|22.0|7.7|53|9|0|1|8|0|53
10|27.0|6.75|25|2|0|1|17|0|109
88|20.0|0.0|36|7|1|1|1|0|134
4|15.0|6.0|36|12|0|1|25|0|16
29|9.9|5.94|51|6|1|1|16|0|73
13|20.0|5.0|42|2|0|1|9|0|109
4|45.0|11.25|51|2|0|1|17|0|109
330|22.0|0.0|26|7|1|1|10|0|94
34|3.44|0.96|48|13|0|1|22|0|109
8|17.0|4.25|75|2|0|1|9|0|109
28|11.0|0.0|65|7|1|1|10|0|20
65|33.5|8.38|32|2|0|1|13|0|109
9|55.0|0.0|36|7|1|1|1|0|73
46|20.0|0.0|35|7|1|1|1|0|49
9|20.0|0.0|36|7|1|1|0|0|109
78|33.0|0.0|36|7|1|1|1|0|95
10|33.5|8.38|24|2|0|1|17|0|109
23|89.1|53.46|33|6|1|1|16|0|3
6|22.0|7.7|55|9|0|1|8|0|49
15|0.0|77.22|59|6|1|1|16|0|128
15|31.0|0.0|36|7|1|1|0|0|109
93|138.6|83.16|53|6|1|1|16|0|86
13|22.0|7.7|38|9|0|1|8|0|53
28|10.0|0.0|36|7|1|1|10|0|134
6|15.0|6.0|50|12|0|1|25|0|16
3|15.0|6.0|33|12|0|1|25|0|16
13|42.0|0.0|36|7|1|1|10|0|63
30|20.0|0.0|36|7|1|1|1|0|116
9|45.0|0.0|36|7|1|1|1|0|116
3|10.0|0.0|36|7|1|1|10|0|82
8|10.0|0.0|38|7|1|1|10|0|73
59|20.0|0.0|36|7|1|1|0|0|23
35|29.0|0.0|36|7|1|1|1|0|59
21|20.0|0.0|36|7|1|1|1|0|73
4|38.0|0.0|35|7|1|1|0|0|80
17|15.0|0.0|35|7|1|1|10|0|53
14|10.0|0.0|36|7|1|1|10|0|95
5|22.0|0.0|49|7|1|1|1|0|119
40|16.0|0.0|25|7|1|1|10|0|129
11|27.0|6.75|32|2|0|1|9|0|109
9|43.0|0.0|35|7|1|1|10|0|23
16|3.22|1.13|48|1|0|1|2|0|18
75|10.0|0.0|36|7|1|1|10|0|95
47|14.0|0.0|36|7|1|1|10|0|95
22|35.0|0.0|36|7|1|1|10|0|53
4|20.0|0.0|44|7|1|1|1|0|53
121|14.11|4.94|48|1|0|1|2|0|18
2|4.95|1.73|48|1|0|1|2|0|95
106|53.0|0.0|35|7|1|1|1|0|49
7|19.8|11.88|31|6|1|1|16|0|38
29|22.0|0.0|36|7|1|1|1|0|119
11|41.5|10.38|35|2|0|1|17|0|109
20|28.0|0.0|36|7|1|1|1|0|49
5|24.0|0.0|36|7|1|1|1|0|53
13|29.7|17.82|46|6|1|1|16|0|43
2|18.0|0.0|36|7|1|1|10|0|59
140|10.0|0.0|25|7|1|1|10|0|119
91|76.0|0.0|39|7|1|1|10|0|129
4|80.0|0.0|36|7|1|1|10|0|99
104|89.1|53.46|45|6|1|1|16|0|128
5|37.0|0.0|36|7|1|1|10|0|38
63|35.0|12.25|48|9|0|1|8|0|23
5|16.0|4.0|39|2|0|1|9|0|109
23|20.0|0.0|36|7|1|1|0|0|82
6|0.0|5.94|31|6|1|1|16|0|128
42|22.0|7.7|46|9|0|1|8|0|134
365|252.85|63.21|43|2|0|1|4|0|109
29|30.0|0.0|36|7|1|1|10|0|116
11|45.0|0.0|58|7|1|1|10|0|49
24|20.0|0.0|55|7|1|1|1|0|49
17|38.0|0.0|56|7|1|1|1|0|52
134|26.0|0.0|33|7|1|1|10|0|73
18|14.0|0.0|35|7|1|1|10|0|109
82|22.0|0.0|36|7|1|1|1|0|95
62|47.0|0.0|36|7|1|1|1|0|59
393|252.85|63.21|31|2|0|1|4|0|109
22|26.0|9.1|37|9|0|1|8|0|49
27|59.0|0.0|36|7|1|1|0|0|109
69|167.0|58.45|55|9|0|1|25|0|115
14|0.0|0.0|27|7|1|1|10|0|59
26|26.0|9.1|48|9|0|1|8|0|23
11|39.0|9.75|23|2|0|1|17|0|109
99|11.0|0.0|36|7|1|1|10|0|52
35|21.0|0.0|36|7|1|1|10|0|52
78|71.0|0.0|36|7|1|1|10|0|41
8|15.0|0.0|36|7|1|1|10|0|53
1|20.0|0.0|36|7|1|1|0|0|28
4|41.0|0.0|36|7|1|1|10|0|23
118|112.0|0.0|36|7|1|1|1|0|109
56|59.0|0.0|36|7|1|1|10|0|63
29|20.0|0.0|36|7|1|1|0|0|119
35|47.5|11.88|31|2|0|1|17|0|109
7|10.0|0.0|36|7|1|1|10|0|95
47|94.0|23.5|33|2|0|1|9|0|109
77|80.0|0.0|36|7|1|1|10|0|89
7|45.0|15.75|30|9|0|1|25|0|23
23|27.0|0.0|36|7|1|1|1|0|49
33|22.0|0.0|37|7|1|1|10|0|53
12|22.0|7.7|66|9|0|1|8|0|119
5|27.75|6.94|25|2|0|1|17|0|109
5|66.0|0.0|36|7|1|1|1|0|116
18|22.0|7.7|45|9|0|1|8|0|53
24|29.7|17.82|31|6|1|1|16|0|128
71|15.0|0.0|48|7|1|1|10|0|129
33|34.0|0.0|36|7|1|1|10|0|70
11|10.0|0.0|36|7|1|1|10|0|119
10|31.0|0.0|36|7|1|1|1|0|23
49|20.0|0.0|36|7|1|1|0|0|109
74|22.0|0.0|29|7|1|1|1|0|119
3|18.0|6.3|49|9|0|1|8|0|134
282|37.0|0.0|36|7|1|1|10|0|63
29|20.0|0.0|33|7|1|1|0|0|23
24|20.0|0.0|40|7|1|1|1|0|119
44|99.0|59.4|55|6|1|1|16|0|86
123|34.0|0.0|36|7|1|1|1|0|59
17|44.0|0.0|35|7|1|1|1|0|23
13|67.0|0.0|36|7|1|1|10|0|63
172|80.0|0.0|36|7|1|1|10|0|128
86|26.0|0.0|36|7|1|1|10|0|63
30|36.0|0.0|36|7|1|1|10|0|95
63|10.0|0.0|24|7|1|1|10|0|63
8|27.0|0.0|54|7|1|1|1|0|73
31|34.0|0.0|36|7|1|1|1|0|23
6|24.5|6.13|38|2|0|1|17|0|109
3|9.9|5.94|39|6|1|1|16|0|129
18|10.0|0.0|32|7|1|1|10|0|73
35|18.0|0.0|36|7|1|1|10|0|134
2|10.0|0.0|47|7|1|1|10|0|109
50|87.0|0.0|68|7|1|1|1|0|129
13|16.0|0.0|36|7|1|1|10|0|109
19|19.0|0.0|33|7|1|1|10|0|73
91|20.0|0.0|36|7|1|1|0|0|18
12|24.0|6.0|54|2|0|1|9|0|109
56|20.0|0.0|41|7|1|1|1|0|119
10|10.0|0.0|36|7|1|1|10|0|53
14|27.0|0.0|36|7|1|1|10|0|119
102|10.0|0.0|36|7|1|1|10|0|73
47|109.0|41.42|22|0|1|1|25|0|38
5|28.0|0.0|30|7|1|1|1|0|73
20|12.0|0.0|36|7|1|1|10|0|52
47|50.0|17.5|31|9|0|1|8|0|23
49|11.0|0.0|36|7|1|1|10|0|18
87|52.65|13.16|42|2|0|1|9|0|109
16|29.0|0.0|36|7|1|1|1|0|23
17|23.0|0.0|36|7|1|1|10|0|63
10|26.0|9.1|27|9|0|1|8|0|71
13|20.0|0.0|54|7|1|1|1|0|73
3|30.0|0.0|36|7|1|1|0|0|63
44|49.5|29.7|46|6|1|1|16|0|73
69|53.0|0.0|36|7|1|1|1|0|113
90|44.0|15.4|62|9|0|1|8|0|23
21|19.8|11.88|35|6|1|1|16|0|73
7|0.0|0.0|37|7|1|1|10|0|109
2|21.0|0.0|36|7|1|1|0|0|53
9|10.0|0.0|54|7|1|1|10|0|53
16|20.0|0.0|36|7|1|1|10|0|76
62|20.0|0.0|54|7|1|1|1|0|119
78|49.5|29.7|31|6|1|1|16|0|73
40|13.0|0.0|24|7|1|1|10|0|20
314|0.51|0.14|48|13|0|1|22|0|109
101|40.0|14.0|51|9|0|1|8|0|23
102|83.0|29.05|45|9|0|1|25|0|23
9|38.0|0.0|33|7|1|1|10|0|119
1|41.0|0.0|36|7|1|1|0|0|49
5|29.7|17.82|56|6|1|1|16|0|119
9|20.0|0.0|36|7|1|1|0|0|86
10|30.0|0.0|36|7|1|1|0|0|23
18|36.0|0.0|36|7|1|1|1|0|23
19|26.5|6.63|36|2|0|1|9|0|109
20|22.0|7.7|39|9|0|1|8|0|66
29|29.0|9.57|73|5|1|0|12|0|119
11|112.0|0.0|36|7|1|1|1|0|63
11|39.0|9.75|24|2|0|1|17|1|109
14|20.0|0.0|36|7|1|1|0|0|109
386|252.85|63.21|30|2|0|1|4|0|109
23|43.0|0.0|36|7|1|1|1|0|49
54|59.4|35.64|47|6|1|1|16|0|3
9|0.0|9.1|31|9|0|1|8|0|49
22|59.4|35.64|34|6|1|1|16|0|3
54|33.5|8.38|23|2|0|1|9|0|109
12|20.0|0.0|36|7|1|1|0|0|134
26|128.7|77.22|59|6|1|1|16|0|129
65|99.0|59.4|31|6|1|1|16|0|3
4|24.0|0.0|36|7|1|1|10|0|109
20|19.0|0.0|36|7|1|1|10|0|23
383|216.0|54.0|40|2|0|1|4|0|109
25|36.0|0.0|40|7|1|1|1|0|63
18|80.0|0.0|59|7|1|1|10|0|49
81|41.5|10.38|29|2|0|1|17|0|109
283|37.0|12.95|38|9|0|1|8|0|95
17|10.0|0.0|36|7|1|1|10|0|109
47|19.0|0.0|36|7|1|1|10|0|71
115|79.2|47.52|39|6|1|1|16|0|129
144|11.51|3.23|48|13|0|1|22|0|109
